n_capas,oculto,dropout,activacion,lr,lote,n_vecinos,h_pasado,horizonte,epocas,weight_decay,normalizacion,optimizador,dim_entrada,n_muestras,val_mse,nota_rollout,segundos
3,1024,0.0,gelu,0.008,256,1,2,15,80,0.01,no,adamw,34,7671,0.97305,0.4205,20.4
3,512,0.1,gelu,0.008,256,1,2,15,80,0.01,no,adamw,34,7671,0.91239,0.216,14.5
3,512,0.0,gelu,0.003,256,1,2,15,80,0.01,layernorm,adamw,34,7671,0.92896,0.4754,13.9
4,1024,0.0,gelu,0.008,256,1,2,15,120,0.01,layernorm,adamw,34,7671,0.69225,0.456,22.9
3,1024,0.1,gelu,0.005,512,1,2,15,80,0.01,no,adamw,34,7671,0.98495,0.194,8.4
3,512,0.1,silu,0.003,256,1,2,15,80,0.01,layernorm,adamw,34,7671,0.9265,0.5394,22.6
4,1024,0.0,gelu,0.003,512,1,2,15,80,0.01,no,adamw,34,7671,0.96791,0.4765,8.0
4,1024,0.0,gelu,0.003,512,1,2,15,120,0.01,no,adamw,34,7671,0.8482,0.2792,12.7
4,512,0.0,gelu,0.002,512,1,2,15,120,0.01,no,adamw,34,7671,1.14478,0.561,13.8
3,512,0.0,silu,0.003,256,1,2,15,80,0.01,no,adamw,34,7671,0.98506,0.5763,18.8
3,512,0.0,gelu,0.003,256,1,2,15,120,0.01,layernorm,adamw,34,7671,0.84658,0.429,19.9
4,512,0.1,silu,0.002,256,1,2,15,120,0.01,layernorm,adamw,34,7671,0.74006,0.5515,31.2
4,1024,0.1,silu,0.003,512,1,2,15,120,0.01,layernorm,adamw,34,7671,0.7291,0.4616,13.4
3,512,0.1,gelu,0.005,512,1,2,15,80,0.01,no,adamw,34,7671,0.9488,0.3289,8.4
4,512,0.1,silu,0.003,512,1,2,15,120,0.01,layernorm,adamw,34,7671,0.80864,0.5846,12.6
3,512,0.1,silu,0.005,256,1,2,15,120,0.01,layernorm,adamw,34,7671,0.74189,0.5938,40.1
3,1024,0.0,gelu,0.002,256,1,2,15,80,0.01,no,adamw,34,7671,0.92344,0.527,12.5
4,512,0.1,silu,0.003,256,1,2,15,120,0.01,no,adamw,34,7671,0.77319,0.5453,19.4
3,512,0.1,silu,0.002,256,1,2,15,120,0.01,layernorm,adamw,34,7671,0.84932,0.4539,35.7
3,512,0.0,silu,0.005,512,1,2,15,120,0.01,layernorm,adamw,34,7671,0.78604,0.5252,12.6
4,1024,0.1,gelu,0.005,512,1,2,15,80,0.01,layernorm,adamw,34,7671,0.83439,0.6236,10.5
3,512,0.0,silu,0.003,256,1,2,15,120,0.01,layernorm,adamw,34,7671,0.83268,0.3831,18.3
4,1024,0.0,silu,0.005,256,1,2,15,80,0.01,no,adamw,34,7671,0.82773,0.4998,15.5
3,1024,0.0,gelu,0.003,256,1,2,15,120,0.01,layernorm,adamw,34,7671,0.77979,0.5287,21.2
3,512,0.0,gelu,0.005,256,1,2,15,80,0.01,no,adamw,34,7671,0.8542,0.5703,16.6
3,1024,0.0,silu,0.002,256,1,2,15,80,0.01,no,adamw,34,7671,0.93138,0.639,14.0
4,512,0.0,gelu,0.003,256,1,2,15,80,0.01,no,adamw,34,7671,0.88741,0.6807,15.6
4,512,0.1,gelu,0.005,256,1,2,15,80,0.01,no,adamw,34,7671,1.00021,0.2971,16.8
4,1024,0.0,silu,0.002,256,1,2,15,120,0.01,layernorm,adamw,34,7671,0.74417,0.5579,21.7
4,1024,0.0,gelu,0.005,256,1,2,15,80,0.01,no,adamw,34,7671,1.00032,0.5177,14.4
3,1024,0.0,gelu,0.005,256,1,2,15,120,0.01,no,adamw,34,7671,0.93222,0.5229,20.1
4,512,0.0,silu,0.002,256,1,2,15,120,0.01,no,adamw,34,7671,1.05293,0.4544,29.2
4,1024,0.0,silu,0.002,256,1,2,15,80,0.01,no,adamw,34,7671,0.92674,0.4389,18.0
4,1024,0.1,gelu,0.005,256,1,2,15,120,0.01,no,adamw,34,7671,0.99009,0.4506,20.0
3,1024,0.1,silu,0.005,512,1,2,15,120,0.01,layernorm,adamw,34,7671,0.9112,0.4993,10.8
4,512,0.1,gelu,0.008,512,1,2,15,80,0.01,no,adamw,34,7671,0.8125,0.6104,8.2
3,1024,0.0,silu,0.008,256,1,2,15,120,0.01,no,adamw,34,7671,1.04061,0.5729,18.8
