run,vid,instante,x1,y1,x2,y2,v,theta,a,giro
# run=20260718-171940-812 opt=prioridades condiciones_iniciales=[{'id': 1, 'inicio': (25.72, 18.28), 'giro_inicial': 33.8, 'meta': (9.92, 6.15), 'angulo_llegada': 104.3, 'largo': 1.12, 'ancho': 0.66, 'v_max': 1.83, 'v_inicial': 0.0, 'a_max': 0.94, 'giro_max': 34.7, 'grupo': 1, 'prioridad': 1}, {'id': 2, 'inicio': (26.22, 3.39), 'giro_inicial': 58.9, 'meta': (16.71, 18.88), 'angulo_llegada': 0.6, 'largo': 1.01, 'ancho': 0.6, 'v_max': 2.45, 'v_inicial': 0.0, 'a_max': 0.91, 'giro_max': 32.0, 'grupo': 1, 'prioridad': 1}, {'id': 3, 'inicio': (18.22, 17.58), 'giro_inicial': 101.2, 'meta': (37.16, 15.44), 'angulo_llegada': 106.0, 'largo': 1.02, 'ancho': 0.58, 'v_max': 2.64, 'v_inicial': 0.0, 'a_max': 0.8, 'giro_max': 29.4, 'grupo': 2, 'prioridad': 2}]
20260718-171940-812,1,0,26.001774,18.865750,25.438226,17.694250,-0.094000,0.589921,-0.939968,2.932622
20260718-171940-812,1,1,25.992082,18.861405,25.432329,17.688086,-0.187996,0.593157,-0.939918,2.938127
20260718-171940-812,1,2,25.972861,18.852549,25.420506,17.675729,-0.281988,0.599454,-0.939853,2.943632
20260718-171940-812,1,3,25.944310,18.838936,25.402785,17.657094,-0.375973,0.608636,-0.935616,2.949135
20260718-171940-812,1,4,25.906673,18.820252,25.379242,17.632053,-0.469535,0.620530,-0.937175,2.613305
20260718-171940-812,1,5,25.843007,18.802389,25.368938,17.591911,-0.563252,0.665016,-0.936447,2.628723
20260718-171940-812,1,6,25.769011,18.776746,25.357872,17.543472,-0.656897,0.716507,-0.935757,2.644141
20260718-171940-812,1,7,25.685944,18.741596,25.346866,17.486595,-0.750473,0.774412,-0.000000,2.659564
20260718-171940-812,1,8,25.595333,18.695216,25.336884,17.421166,-0.750473,0.838152,-0.000000,2.659564
20260718-171940-812,1,9,25.507860,18.643159,25.331090,17.355234,-0.750473,0.901892,0.000000,2.659564
20260718-171940-812,1,10,25.423881,18.585636,25.329507,17.289066,-0.750473,0.965633,0.000000,2.659564
20260718-171940-812,1,11,25.343736,18.522881,25.332142,17.222933,-0.750473,1.029373,0.932756,2.659564
20260718-171940-812,1,12,25.267752,18.455148,25.338984,17.157101,-0.657197,1.093114,0.937397,2.707964
20260718-171940-812,1,13,25.208420,18.392741,25.343661,17.099794,-0.563458,1.142513,0.937939,2.694491
20260718-171940-812,1,14,25.158989,18.336870,25.350789,17.051097,-0.469664,1.186371,0.938479,2.681018
20260718-171940-812,1,15,25.118778,18.288578,25.359069,17.010979,-0.375816,1.224201,0.938158,2.667540
20260718-171940-812,1,16,25.087184,18.248759,25.367343,16.979306,-0.282000,1.255503,0.940000,3.130215
20260718-171940-812,1,17,25.078123,18.221871,25.358943,16.952564,-0.188000,1.256024,0.940000,3.129899
20260718-171940-812,1,18,25.072082,18.203943,25.353356,16.934736,-0.094000,1.256381,0.940000,3.129582
20260718-171940-812,1,19,25.069061,18.194977,25.350567,16.925822,0.000000,1.256564,0.940000,0.000000
20260718-171940-812,1,20,25.069061,18.194977,25.350567,16.925822,0.094000,1.256564,0.940000,-0.012011
20260718-171940-812,1,21,25.072084,18.203942,25.353357,16.934736,0.188000,1.256381,0.940000,-0.011694
20260718-171940-812,1,22,25.078131,18.221869,25.358951,16.952562,0.282000,1.256024,0.940000,-0.011377
20260718-171940-812,1,23,25.087206,18.248752,25.367365,16.979299,0.376000,1.255503,0.938025,-0.011061
20260718-171940-812,1,24,25.099319,18.284585,25.378621,17.014943,0.469802,1.254828,0.938778,0.363298
20260718-171940-812,1,25,25.094277,18.325347,25.410269,17.064336,0.563680,1.283822,0.938449,0.352641
20260718-171940-812,1,26,25.087271,18.374270,25.445542,17.124614,0.657525,1.317499,0.938131,0.341984
20260718-171940-812,1,27,25.077722,18.431295,25.483206,17.196150,0.751338,1.355496,0.929342,0.331325
20260718-171940-812,1,28,25.064966,18.496320,25.521903,17.279271,0.844272,1.397454,0.935336,0.436385
20260718-171940-812,1,29,25.035801,18.564578,25.569545,17.379202,0.937806,1.461374,0.934959,0.421924
20260718-171940-812,1,30,24.999813,18.638892,25.613255,17.492729,1.031302,1.529712,0.934688,0.407450
20260718-171940-812,1,31,24.956016,18.718602,25.650606,17.619718,1.124771,1.601971,0.934532,0.392963
20260718-171940-812,1,32,24.903432,18.802924,25.679127,17.759709,1.218224,1.677660,0.934499,0.378460
20260718-171940-812,1,33,24.841118,18.890949,25.696365,17.911892,1.311674,1.756296,0.934593,0.363941
20260718-171940-812,1,34,24.768190,18.981644,25.699949,18.075098,1.405133,1.837405,0.934814,0.349407
20260718-171940-812,1,35,24.683858,19.073869,25.687659,18.247803,1.498614,1.920517,0.926106,0.334857
20260718-171940-812,1,36,24.587438,19.166386,25.657489,18.428152,1.591225,2.005169,0.935025,0.342546
20260718-171940-812,1,37,24.475453,19.253766,25.608875,18.617091,1.684727,2.097286,0.935704,0.326958
20260718-171940-812,1,38,24.350199,19.337693,25.537716,18.808729,1.778298,2.190036,0.438256,0.311354
20260718-171940-812,1,39,24.211516,19.416663,25.442984,19.000147,1.822123,2.282940,0.000000,0.304045
20260718-171940-812,1,40,24.062958,19.485544,25.327729,19.184955,1.822123,2.375754,-0.000000,0.304045
20260718-171940-812,1,41,23.908655,19.540361,25.195841,19.358286,1.822123,2.468568,0.000000,0.304045
20260718-171940-812,1,42,23.749936,19.580641,25.048457,19.518647,1.822123,2.561382,-0.000000,0.304045
20260718-171940-812,1,43,23.588167,19.606038,24.886845,19.664658,1.822123,2.654196,0.010373,0.304045
20260718-171940-812,1,44,23.424741,19.616332,24.712396,19.795062,1.823161,2.747010,-0.000000,0.284287
20260718-171940-812,1,45,23.260483,19.616550,24.527888,19.905833,1.823161,2.833493,0.000000,0.284287
20260718-171940-812,1,46,23.096820,19.602580,24.334502,20.000253,1.823161,2.919975,-0.000000,0.284287
20260718-171940-812,1,47,22.934976,19.574525,24.133683,20.077617,1.823161,3.006457,0.025495,0.284287
20260718-171940-812,1,48,22.776160,19.532597,23.926933,20.137346,1.825710,3.092940,0.000000,0.227080
20260718-171940-812,1,49,22.615236,19.490303,23.721928,20.172382,1.825710,3.161423,-0.000000,0.227080
