run,vid,instante,x1,y1,x2,y2,v,theta,a,giro
# run=20260718-163124-574 opt=secuencial condiciones_iniciales=[{'id': 1, 'inicio': (15.423, 18.128), 'giro_inicial': 283.306, 'meta': (26.082, 19.415), 'angulo_llegada': 260.292, 'largo': 0.91, 'ancho': 0.52, 'v_max': 2.96, 'v_inicial': 0.0, 'a_max': 0.85, 'giro_max': 28.5, 'grupo': 1, 'prioridad': 1}, {'id': 2, 'inicio': (26.07, 12.75), 'giro_inicial': 307.8, 'meta': (23.9, 3.3), 'angulo_llegada': 34.8, 'largo': 0.77, 'ancho': 0.47, 'v_max': 2.0, 'v_inicial': 0.0, 'a_max': 0.92, 'giro_max': 39.4, 'grupo': 2, 'prioridad': 2}, {'id': 3, 'inicio': (33.81, 18.08), 'giro_inicial': 332.2, 'meta': (10.33, 7.33), 'angulo_llegada': 215.0, 'largo': 0.92, 'ancho': 0.54, 'v_max': 2.46, 'v_inicial': 0.0, 'a_max': 0.99, 'giro_max': 29.3, 'grupo': 2, 'prioridad': 1}, {'id': 4, 'inicio': (17.1, 2.99), 'giro_inicial': 19.9, 'meta': (17.79, 8.52), 'angulo_llegada': 259.1, 'largo': 1.04, 'ancho': 0.54, 'v_max': 2.76, 'v_inicial': 0.0, 'a_max': 0.76, 'giro_max': 37.5, 'grupo': 2, 'prioridad': 3}, {'id': 5, 'inicio': (17.02, 13.53), 'giro_inicial': 354.2, 'meta': (30.3, 19.4), 'angulo_llegada': 236.7, 'largo': 0.98, 'ancho': 0.56, 'v_max': 2.49, 'v_inicial': 0.0, 'a_max': 0.61, 'giro_max': 32.4, 'grupo': 2, 'prioridad': 2}, {'id': 6, 'inicio': (27.8, 18.75), 'giro_inicial': 291.5, 'meta': (17.25, 12.21), 'angulo_llegada': 228.2, 'largo': 1.0, 'ancho': 0.52, 'v_max': 2.53, 'v_inicial': 0.0, 'a_max': 0.86, 'giro_max': 34.4, 'grupo': 1, 'prioridad': 1}]
20260718-163124-574,1,0,15.780959,17.745210,15.065485,18.511106,0.084997,4.944617,0.849765,0.490294
20260718-163124-574,1,1,15.786446,17.740215,15.064059,18.499594,0.169973,4.953681,0.849390,0.483200
20260718-163124-574,1,2,15.797510,17.730278,15.061707,18.476665,0.254912,4.971500,0.848867,0.476133
20260718-163124-574,1,3,15.814363,17.715600,15.059212,18.442406,0.339799,4.997766,0.849656,0.469090
20260718-163124-574,1,4,15.837330,17.696528,15.057622,18.396925,0.424764,5.032175,0.848421,0.373966
20260718-163124-574,1,5,15.863471,17.669826,15.060873,18.343871,0.509606,5.065480,0.847899,0.368255
20260718-163124-574,1,6,15.895901,17.638724,15.067447,18.280725,0.594396,5.104767,0.847337,0.362550
20260718-163124-574,1,7,15.935141,17.603806,15.078617,18.207848,0.679130,5.149815,0.846747,0.356851
20260718-163124-574,1,8,15.981748,17.565785,15.095776,18.125744,0.763805,5.200402,0.846139,0.351155
20260718-163124-574,1,9,16.036288,17.525515,15.120412,18.035094,0.848419,5.256308,0.845523,0.345461
20260718-163124-574,1,10,16.099310,17.483993,15.154069,17.936783,0.932971,5.317315,0.844910,0.339768
20260718-163124-574,1,11,16.171313,17.442363,15.198310,17.831934,1.017462,5.383206,0.844307,0.334075
20260718-163124-574,1,12,16.252716,17.401917,15.254669,17.721921,1.101893,5.453765,0.843722,0.328381
20260718-163124-574,1,13,16.343823,17.364088,15.324601,17.608397,1.186265,5.528777,0.843164,0.322685
20260718-163124-574,1,14,16.444786,17.330439,15.409422,17.493291,1.270581,5.608028,0.842638,0.316986
20260718-163124-574,1,15,16.555577,17.302649,15.510254,17.378812,1.354845,5.691307,0.842152,0.311283
20260718-163124-574,1,16,16.675946,17.282485,15.627961,17.267432,1.439060,5.778402,0.841711,0.305575
20260718-163124-574,1,17,16.805398,17.271776,15.763084,17.161861,1.523231,5.869103,0.841319,0.299863
20260718-163124-574,1,18,16.943163,17.272374,15.915787,17.065011,1.607363,5.963202,0.840982,0.294144
20260718-163124-574,1,19,17.088175,17.286111,16.085799,16.979936,1.691461,6.060489,0.840703,0.288420
20260718-163124-574,1,20,17.239061,17.314751,16.272368,16.909774,1.775532,6.160757,0.840486,0.282690
20260718-163124-574,1,21,17.394135,17.359935,16.474227,16.857671,1.859580,6.263802,0.840334,0.276952
20260718-163124-574,1,22,17.551403,17.423128,16.689569,16.826688,1.943614,6.369416,0.840249,0.271208
20260718-163124-574,1,23,17.708579,17.505562,16.916043,16.819715,2.027639,6.477396,0.860423,0.265457
20260718-163124-574,1,24,17.863108,17.608175,17.150762,16.839369,2.113681,6.587538,0.841719,0.239807
20260718-163124-574,1,25,18.016677,17.727080,17.387372,16.888942,2.197853,6.690799,0.841822,0.234476
20260718-163124-574,1,26,18.163675,17.866092,17.625585,16.966671,2.282035,6.795694,0.841985,0.229140
20260718-163124-574,1,27,18.301359,18.025243,17.861777,17.073787,2.366234,6.902039,0.980800,0.223799
20260718-163124-574,1,28,18.426906,18.204183,18.092054,17.211020,2.464314,7.009647,0.849635,-0.047895
20260718-163124-574,1,29,18.626656,18.359433,18.268460,17.374448,2.549277,6.986047,0.849651,-0.046717
20260718-163124-574,1,30,18.836765,18.515182,18.455218,17.539005,2.634242,6.962235,0.849669,-0.045539
20260718-163124-574,1,31,19.057374,18.670994,18.652525,17.704248,2.719209,6.938250,0.844696,-0.044361
20260718-163124-574,1,32,19.288603,18.826428,18.860559,17.869725,2.803679,6.914133,0.849541,-0.054742
20260718-163124-574,1,33,19.534649,18.978074,19.077446,18.034960,2.888633,6.883437,0.699654,-0.053248
20260718-163124-574,1,34,19.792434,19.126650,19.306439,18.198044,2.958598,6.852676,0.000000,-0.052018
20260718-163124-574,1,35,20.060683,19.270810,19.546344,18.357599,2.958598,6.821899,-0.000000,-0.052018
20260718-163124-574,1,36,20.333243,19.406647,19.791045,18.509696,2.958598,6.791122,0.000000,-0.052018
