n_capas,oculto,dropout,activacion,lr,lote,n_vecinos,h_pasado,horizonte,epocas,weight_decay,normalizacion,optimizador,dim_entrada,n_muestras,val_mse,nota_rollout,segundos
3,256,0.0,gelu,0.008,512,2,3,10,80,0.01,no,sgd,46,7671,0.98424,0.0162,10.2
3,256,0.0,gelu,0.008,512,2,3,10,80,0.01,no,adamw,46,7671,0.84056,0.3744,7.6
2,256,0.1,silu,0.003,2048,2,3,10,40,0.0,no,adamw,46,7671,1.10766,0.0462,1.8
4,512,0.1,gelu,0.001,512,2,3,10,40,0.0,layernorm,adamw,46,7671,0.85211,0.172,3.7
3,1024,0.1,silu,0.008,512,2,3,10,40,0.0,layernorm,adamw,46,7671,0.86892,0.1587,3.2
3,256,0.1,silu,0.008,2048,2,3,10,40,0.01,layernorm,adamw,46,7671,1.03487,0.129,3.2
3,512,0.1,relu,0.008,512,2,3,10,40,0.0,layernorm,sgd,46,7671,1.06157,0.1966,6.8
3,512,0.1,silu,0.001,512,2,3,10,40,0.01,layernorm,sgd,46,7671,0.99987,0.1496,3.0
2,1024,0.1,gelu,0.003,512,2,3,10,40,0.0,no,adamw,46,7671,1.11243,0.0101,2.9
2,512,0.0,gelu,0.003,512,2,3,10,80,0.0,layernorm,adamw,46,7671,1.17524,0.3158,4.9
2,256,0.0,relu,0.003,2048,2,3,10,80,0.01,layernorm,adamw,46,7671,1.14253,0.1087,3.2
4,512,0.0,relu,0.003,512,2,3,10,40,0.01,layernorm,adamw,46,7671,0.90968,0.2541,4.8
3,1024,0.0,silu,0.008,2048,2,3,10,80,0.01,no,sgd,46,7671,1.07008,0.0117,4.3
3,512,0.1,gelu,0.008,512,2,3,10,40,0.0,layernorm,adamw,46,7671,0.88817,0.1957,4.8
3,512,0.1,gelu,0.003,512,2,3,10,40,0.01,no,sgd,46,7671,1.06194,0.011,5.4
3,512,0.0,relu,0.008,2048,2,3,10,80,0.01,no,sgd,46,7671,1.11795,0.0567,3.1
2,256,0.0,relu,0.008,512,2,3,10,80,0.01,layernorm,sgd,46,7671,0.8648,0.1673,8.1
2,1024,0.1,gelu,0.008,2048,2,3,10,80,0.01,no,sgd,46,7671,1.05387,0.0578,2.3
3,256,0.1,gelu,0.008,2048,2,3,10,40,0.01,layernorm,sgd,46,7671,0.94753,0.041,2.2
4,1024,0.1,gelu,0.001,512,2,3,10,40,0.01,no,sgd,46,7671,1.32672,0.0,4.9
3,256,0.1,gelu,0.008,512,2,3,10,40,0.0,layernorm,sgd,46,7671,0.91535,0.2771,6.1
2,1024,0.0,silu,0.008,2048,2,3,10,80,0.0,layernorm,adamw,46,7671,1.04594,0.1668,2.7
4,256,0.1,gelu,0.008,2048,2,3,10,40,0.0,layernorm,sgd,46,7671,1.09634,0.1767,2.6
3,1024,0.0,relu,0.003,2048,2,3,10,40,0.0,no,adamw,46,7671,1.08557,0.0773,2.1
3,1024,0.1,relu,0.001,512,2,3,10,80,0.01,layernorm,sgd,46,7671,1.08551,0.156,5.7
4,1024,0.1,gelu,0.008,2048,2,3,10,80,0.0,no,sgd,46,7671,1.13098,0.0055,3.9
3,512,0.1,silu,0.003,2048,2,3,10,80,0.0,no,adamw,46,7671,1.06644,0.1096,2.9
3,512,0.0,relu,0.008,512,2,3,10,40,0.0,layernorm,sgd,46,7671,1.16129,0.0437,3.8
3,256,0.0,silu,0.003,512,2,3,10,80,0.01,layernorm,adamw,46,7671,0.91761,0.4273,12.9
4,256,0.0,gelu,0.001,512,2,3,10,80,0.01,no,sgd,46,7671,1.28539,0.0,12.1
2,512,0.1,silu,0.008,2048,2,3,10,80,0.01,no,adamw,46,7671,0.98642,0.0448,2.7
2,256,0.0,relu,0.003,2048,2,3,10,40,0.0,no,sgd,46,7671,1.14736,0.0306,2.2
2,512,0.1,relu,0.001,2048,2,3,10,40,0.0,no,sgd,46,7671,1.28807,0.0014,2.3
3,512,0.0,silu,0.001,512,2,3,10,80,0.0,layernorm,sgd,46,7671,1.06462,0.1301,5.7
3,1024,0.1,gelu,0.003,2048,2,3,10,40,0.01,layernorm,adamw,46,7671,1.10209,0.1984,2.6
2,512,0.1,silu,0.003,2048,2,3,10,40,0.01,no,adamw,46,7671,1.09004,0.0919,2.0
3,1024,0.1,silu,0.003,2048,2,3,10,80,0.0,layernorm,adamw,46,7671,1.04537,0.2966,4.5
2,256,0.0,gelu,0.008,2048,2,3,10,40,0.0,layernorm,sgd,46,7671,1.11879,0.101,1.8
2,1024,0.1,gelu,0.003,512,2,3,10,40,0.0,layernorm,sgd,46,7671,1.02878,0.1399,2.9
2,512,0.1,gelu,0.003,2048,2,3,10,80,0.01,no,adamw,46,7671,1.09665,0.0315,2.4
