run,vid,instante,x1,y1,x2,y2,v,theta,a,giro
# run=20260718-162134-860 opt=secuencial condiciones_iniciales=[{'id': 1, 'inicio': (20.99, 13.36), 'giro_inicial': 85.0, 'meta': (31.16, 8.71), 'angulo_llegada': 346.3, 'largo': 0.74, 'ancho': 0.45, 'v_max': 1.99, 'v_inicial': 0.0, 'a_max': 0.9, 'giro_max': 36.6, 'grupo': 2, 'prioridad': 3}, {'id': 2, 'inicio': (18.52, 13.49), 'giro_inicial': 331.3, 'meta': (17.07, 12.58), 'angulo_llegada': 12.8, 'largo': 0.97, 'ancho': 0.54, 'v_max': 2.29, 'v_inicial': 0.0, 'a_max': 0.64, 'giro_max': 36.7, 'grupo': 1, 'prioridad': 1}]
20260718-162134-860,1,0,20.798104,13.748202,21.181896,12.971798,-0.089995,1.483530,-0.899696,-2.712032
20260718-162134-860,1,1,20.801171,13.741169,21.177079,12.960917,-0.179965,1.473401,-0.899230,-2.721917
20260718-162134-860,1,2,20.806800,13.726924,21.167243,12.939408,-0.269888,1.453672,-0.898607,-2.731776
20260718-162134-860,1,3,20.814290,13.705238,21.151901,12.907668,-0.359749,1.424865,0.898607,-2.741615
20260718-162134-860,1,4,20.822744,13.675870,21.130322,12.866243,-0.269888,1.387496,0.899230,-2.731776
20260718-162134-860,1,5,20.828784,13.653736,21.112915,12.835586,-0.179965,1.358690,0.899696,-2.721917
20260718-162134-860,1,6,20.832746,13.638941,21.100681,12.815345,-0.089995,1.338961,0.899954,-2.712032
20260718-162134-860,1,7,20.834767,13.631539,21.094347,12.805271,0.000000,1.328832,0.899944,0.000000
20260718-162134-860,1,8,20.834767,13.631539,21.094347,12.805271,0.089994,1.328832,0.899632,-0.467160
20260718-162134-860,1,9,20.841637,13.641674,21.091985,12.812562,0.179958,1.317678,0.899069,-0.456420
20260718-162134-860,1,10,20.855550,13.661618,21.087841,12.827267,0.269865,1.295969,0.898319,-0.445714
20260718-162134-860,1,11,20.876969,13.690829,21.082716,12.849539,0.359696,1.264289,0.897436,-0.435034
20260718-162134-860,1,12,20.906590,13.728546,21.077620,12.879517,0.449440,1.223218,0.896471,-0.424371
20260718-162134-860,1,13,20.945287,13.773774,21.073760,12.917273,0.539087,1.173324,0.895469,-0.413718
20260718-162134-860,1,14,20.994048,13.825275,21.072522,12.962754,0.628634,1.115169,0.894471,-0.403071
20260718-162134-860,1,15,21.053902,13.881548,21.075439,13.015733,0.718081,1.049306,0.888591,-0.392422
20260718-162134-860,1,16,21.125842,13.940826,21.084153,13.075747,0.806940,0.976282,0.891250,-0.413278
20260718-162134-860,1,17,21.214348,14.000291,21.097696,13.142100,0.896065,0.889336,0.890323,-0.401769
20260718-162134-860,1,18,21.317148,14.057265,21.120845,13.213722,0.985098,0.795793,0.889539,-0.390244
20260718-162134-860,1,19,21.434543,14.108912,21.155368,13.289058,1.074051,0.696233,0.888920,-0.378700
20260718-162134-860,1,20,21.566408,14.152221,21.202839,13.366144,1.162943,0.591228,0.888483,-0.367134
20260718-162134-860,1,21,21.712119,14.184083,21.264539,13.442617,1.251792,0.481343,0.888242,-0.355546
20260718-162134-860,1,22,21.870513,14.201392,21.341352,13.515762,1.340616,0.367136,0.888206,-0.343933
20260718-162134-860,1,23,22.039856,14.201156,21.433672,13.582576,1.429437,0.249159,0.998297,-0.332294
20260718-162134-860,1,24,22.217849,14.180618,21.541324,13.639866,1.529266,0.127959,0.899258,-0.082244
20260718-162134-860,1,25,22.378341,14.184829,21.685394,13.665286,1.619192,0.096986,0.899291,-0.079225
20260718-162134-860,1,26,22.548025,14.184346,21.839017,13.686945,1.709121,0.065402,0.899338,-0.076205
20260718-162134-860,1,27,22.726720,14.178553,22.002131,13.704137,1.799055,0.033339,0.909451,-0.073184
20260718-162134-860,1,28,22.914216,14.166857,22.174636,13.716168,1.890000,0.000932,0.900000,0.000000
20260718-162134-860,1,29,23.103216,14.167034,22.363636,13.716344,1.980000,0.000932,0.100000,0.000000
20260718-162134-860,1,30,23.301216,14.167218,22.561635,13.716529,1.990000,0.000932,0.000000,0.000000
20260718-162134-860,1,31,23.500216,14.167403,22.760635,13.716714,1.990000,0.000932,-0.000101,0.000000
20260718-162134-860,1,32,23.699216,14.167589,22.959635,13.716900,1.989990,0.000932,-0.000000,-0.006501
20260718-162134-860,1,33,23.898930,14.165965,23.157920,13.717629,1.989990,-0.002247,0.000000,-0.006501
20260718-162134-860,1,34,24.098637,14.163706,23.356207,13.717728,1.989990,-0.005426,0.000000,-0.006501
20260718-162134-860,1,35,24.298337,14.160813,23.554492,13.717197,1.989990,-0.008605,0.000000,-0.006501
20260718-162134-860,1,36,24.498026,14.157285,23.752775,13.716036,1.989990,-0.011783,-0.000000,-0.006501
20260718-162134-860,1,37,24.697704,14.153122,23.951054,13.714244,1.989990,-0.014962,0.000000,-0.006501
20260718-162134-860,1,38,24.897366,14.148324,24.149325,13.711822,1.989990,-0.018141,-0.000000,-0.006501
20260718-162134-860,1,39,25.097013,14.142892,24.347588,13.708770,1.989990,-0.021320,-0.000000,-0.006501
20260718-162134-860,1,40,25.296641,14.136825,24.545840,13.705087,1.989990,-0.024498,0.000000,-0.006501
20260718-162134-860,1,41,25.496250,14.130124,24.744080,13.700774,1.989990,-0.027677,-0.000000,-0.006501
20260718-162134-860,1,42,25.695835,14.122788,24.942305,13.695832,1.989990,-0.030856,0.000000,-0.006501
20260718-162134-860,1,43,25.895397,14.114818,25.140513,13.690259,1.989990,-0.034034,-0.000000,-0.006501
20260718-162134-860,1,44,26.094932,14.106213,25.338702,13.684056,1.989990,-0.037213,0.000000,-0.006501
20260718-162134-860,1,45,26.294439,14.096974,25.536871,13.677223,1.989990,-0.040392,-0.000000,-0.006501
20260718-162134-860,1,46,26.493915,14.087101,25.735017,13.669760,1.989990,-0.043571,0.000000,-0.006501
20260718-162134-860,1,47,26.693359,14.076594,25.933138,13.661668,1.989990,-0.046749,0.000000,-0.006501
20260718-162134-860,1,48,26.892769,14.065453,26.131232,13.652946,1.989990,-0.049928,0.000000,-0.006501
20260718-162134-860,1,49,27.092142,14.053679,26.329298,13.643594,1.989990,-0.053107,-0.000000,-0.006501
20260718-162134-860,1,50,27.291476,14.041270,26.527333,13.633612,1.989990,-0.056286,0.000000,-0.006501
20260718-162134-860,1,51,27.490771,14.028228,26.725335,13.623001,1.989990,-0.059464,-0.003599,-0.006501
20260718-162134-860,1,52,27.690022,14.014553,26.923303,13.611761,1.989630,-0.062643,-0.000000,-0.039423
20260718-162134-860,1,53,27.892167,13.990839,27.117824,13.602905,1.989630,-0.081925,-0.000000,-0.039423
20260718-162134-860,1,54,28.093816,13.963232,27.312138,13.590300,1.989630,-0.101207,0.000000,-0.039423
20260718-162134-860,1,55,28.294896,13.931743,27.506172,13.573951,1.989630,-0.120489,-0.012203,-0.039423
