run,vid,instante,x1,y1,x2,y2,v,theta,a,giro
# run=20260718-162332-505 opt=global condiciones_iniciales=[{'id': 1, 'inicio': (31.57, 5.1), 'giro_inicial': 111.5, 'meta': (18.98, 2.76), 'angulo_llegada': 197.1, 'largo': 0.75, 'ancho': 0.41, 'v_max': 2.16, 'v_inicial': 0.0, 'a_max': 0.96, 'giro_max': 34.9, 'grupo': 2, 'prioridad': 3}, {'id': 2, 'inicio': (25.82, 5.28), 'giro_inicial': 72.6, 'meta': (17.65, 11.82), 'angulo_llegada': 159.7, 'largo': 0.8, 'ancho': 0.44, 'v_max': 2.58, 'v_inicial': 0.0, 'a_max': 0.77, 'giro_max': 30.6, 'grupo': 1, 'prioridad': 1}, {'id': 3, 'inicio': (20.99, 18.14), 'giro_inicial': 150.2, 'meta': (10.81, 8.05), 'angulo_llegada': 113.2, 'largo': 0.72, 'ancho': 0.38, 'v_max': 1.94, 'v_inicial': 0.0, 'a_max': 0.83, 'giro_max': 39.6, 'grupo': 1, 'prioridad': 2}]
20260718-162332-505,1,0,31.241826,5.373774,31.898174,4.826226,-0.096000,1.946042,-0.960000,3.141593
20260718-162332-505,1,1,31.245345,5.364842,31.901692,4.817294,-0.192000,1.946042,-0.960000,3.141593
20260718-162332-505,1,2,31.252382,5.346978,31.908729,4.799430,-0.288000,1.946042,-0.960000,3.141593
20260718-162332-505,1,3,31.262937,5.320182,31.919284,4.772634,-0.384000,1.946042,-0.948252,3.141593
20260718-162332-505,1,4,31.277011,5.284454,31.933358,4.736906,-0.478825,1.946042,-0.952666,2.599070
20260718-162332-505,1,5,31.279343,5.217516,31.972369,4.717202,-0.574092,2.016022,-0.950626,2.612244
20260718-162332-505,1,6,31.289097,5.138710,32.020519,4.696419,-0.669154,2.097445,-0.948608,2.625405
20260718-162332-505,1,7,31.309290,5.049410,32.078276,4.676233,-0.764015,2.189506,0.948608,2.638567
20260718-162332-505,1,8,31.342979,4.951618,32.145940,4.658611,-0.669154,2.291418,0.950626,2.625405
20260718-162332-505,1,9,31.380007,4.867885,32.206504,4.649936,-0.574092,2.383480,0.952666,2.612244
20260718-162332-505,1,10,31.417421,4.797843,32.258906,4.647838,-0.478825,2.464902,0.954645,2.599070
20260718-162332-505,1,11,31.452639,4.740872,32.302554,4.650073,-0.383361,2.534882,0.956471,2.585870
20260718-162332-505,1,12,31.483485,4.696246,32.337223,4.654622,-0.287714,2.592596,0.958036,2.572629
20260718-162332-505,1,13,31.508195,4.663273,32.362939,4.659759,-0.191910,2.637201,0.959219,2.559329
20260718-162332-505,1,14,31.525427,4.641423,32.379878,4.664089,-0.095988,2.667832,0.959881,2.545951
20260718-162332-505,1,15,31.534270,4.630443,32.388257,4.666580,0.000000,2.683603,0.959929,0.000000
20260718-162332-505,1,16,31.534270,4.630443,32.388257,4.666580,0.095993,2.683603,0.959531,0.482186
20260718-162332-505,1,17,31.525860,4.629383,32.379343,4.675919,0.191946,2.695783,0.958815,0.471312
20260718-162332-505,1,18,31.509017,4.627136,32.361157,4.693897,0.287828,2.719497,0.957857,0.460478
20260718-162332-505,1,19,31.483762,4.623294,32.333082,4.719503,0.383613,2.754109,0.955396,0.449676
20260718-162332-505,1,20,31.450180,4.617188,32.294327,4.751410,0.479153,2.798995,0.954670,0.472850
20260718-162332-505,1,21,31.408822,4.605653,32.243508,4.789768,0.574620,2.858416,0.953161,0.461286
20260718-162332-505,1,22,31.359904,4.589228,32.179853,4.830650,0.669936,2.927657,0.951657,0.449731
20260718-162332-505,1,23,31.304034,4.566571,32.102556,4.871468,0.765102,3.006055,0.961393,0.438175
20260718-162332-505,1,24,31.242063,4.536225,32.011107,4.909281,0.861241,3.092962,0.952004,0.365661
20260718-162332-505,1,25,31.171829,4.503410,31.908627,4.936687,0.956441,3.172902,0.951115,0.355677
20260718-162332-505,1,26,31.096492,4.461273,31.793286,4.956327,1.051553,3.259034,0.950348,0.345682
20260718-162332-505,1,27,31.017356,4.408439,31.665829,4.965290,1.146588,3.350842,0.977700,0.335673
20260718-162332-505,1,28,30.935996,4.343625,31.527507,4.960646,1.244358,3.447816,0.953842,0.248111
20260718-162332-505,1,29,30.844639,4.275349,31.387316,4.935729,1.339742,3.524236,0.953657,0.240417
20260718-162332-505,1,30,30.751468,4.194873,31.239899,4.896325,1.435107,3.603860,0.953576,0.232715
